"zone","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016"
"E01000001","lsoa01",19.67163,20.81222,18.18918,17.2456,17.81752,16.87438,13.39395,12.50178
"E01000002","lsoa01",19.67163,20.81222,18.18918,17.2456,17.81752,16.87438,13.39395,12.50178
"E01000003","lsoa01",18.89636,19.73755,18.12592,17.08499,17.61492,16.85815,13.75178,12.67116
"E01000004","lsoa01",19.81918,21.231335,18.42341,17.388065,18.007595,17.01877,13.574845,12.582135
"E01000005","lsoa01",19.0128,19.77033,17.33143,17.19865,17.90073,17.07048,13.62719,12.70691
"E01000006","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000007","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000008","lsoa01",17.38007,15.98909,14.58633,16.26917,16.44945,15.47523,12.47335,13.39554
"E01000009","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000010","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000011","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000012","lsoa01",17.38007,15.98909,14.58633,16.26917,16.44945,15.47523,12.47335,13.39554
"E01000013","lsoa01",17.15955,15.75736,12.90094,13.92605,13.53995,13.01888,10.6251,12.57653
"E01000014","lsoa01",17.15955,15.75736,12.90094,13.92605,13.53995,13.01888,10.6251,12.57653
"E01000015","lsoa01",16.58944,14.82591,13.03203,14.00511,13.56236,13.0935,10.61341,12.41425
"E01000016","lsoa01",16.58944,14.82591,13.03203,14.00511,13.56236,13.0935,10.61341,12.41425
"E01000017","lsoa01",16.57539,14.85431,13.03973,13.96463,13.52352,13.06934,10.67317,12.72751
"E01000018","lsoa01",16.58944,14.82591,13.03203,14.00511,13.56236,13.0935,10.61341,12.41425
"E01000019","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000020","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000021","lsoa01",16.5615,14.83657,13.07067,14.02068,13.40147,13.40568,10.81804,12.31651
"E01000022","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000023","lsoa01",16.48289,14.70786,13.11775,14.27537,13.73826,13.54045,10.99733,12.51687
"E01000024","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000025","lsoa01",16.48289,14.70786,13.11775,14.27537,13.73826,13.54045,10.99733,12.51687
"E01000026","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000027","lsoa01",15.29174,13.59573,12.05363,13.18754,12.50525,12.99894,10.65345,11.18573
"E01000028","lsoa01",15.67393,13.87644,12.68988,13.8071,13.20327,13.26592,10.67872,11.59339
"E01000029","lsoa01",16.29081,14.39338,12.75138,13.66173,12.95787,12.99253,10.54305,12.03311
"E01000030","lsoa01",15.58666,13.83262,12.60151,13.83453,13.23507,13.53444,11.01924,11.63938
"E01000031","lsoa01",15.831975,14.034465,12.692535,13.95818,13.35052,13.65545,11.13872,11.911065
"E01000032","lsoa01",16.29081,14.39338,12.75138,13.66173,12.95787,12.99253,10.54305,12.03311
"E01000033","lsoa01",16.40025,14.36033,12.42834,13.35108,12.74654,12.36222,9.992414,11.36366
"E01000034","lsoa01",16.40025,14.36033,12.42834,13.35108,12.74654,12.36222,9.992414,11.36366
"E01000035","lsoa01",16.32534,14.49139,12.79017,13.97237,13.42329,12.84909,10.3678,11.61836
"E01000036","lsoa01",16.32534,14.49139,12.79017,13.97237,13.42329,12.84909,10.3678,11.61836
"E01000037","lsoa01",16.47899,14.27686,12.72195,13.93361,13.53797,13.01789,10.57533,11.76032
"E01000038","lsoa01",16.42912,14.35878,12.80566,13.77759,13.45646,12.82349,10.37817,11.66105
"E01000039","lsoa01",16.2646266666667,14.2845466666667,12.4776066666667,13.4719,12.9222633333333,12.5410533333333,10.16177,11.38771
"E01000040","lsoa01",17.11371,15.24605,13.47045,14.60111,14.06854,13.76852,11.19478,12.72551
"E01000041","lsoa01",16.86481,15.01879,13.09115,14.37915,13.85579,13.6749,11.15887,12.67208
"E01000042","lsoa01",16.86481,15.01879,13.09115,14.37915,13.85579,13.6749,11.15887,12.67208
"E01000043","lsoa01",17.07379,15.04489,14.24396,15.88004,15.81559,15.11794,12.16709,13.04657
"E01000044","lsoa01",17.07379,15.04489,14.24396,15.88004,15.81559,15.11794,12.16709,13.04657
"E01000045","lsoa01",16.71664,14.71653,13.78587,15.46753,15.48761,14.75796,11.81737,12.54695
"E01000046","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000047","lsoa01",17.52498,15.65763,14.29219,15.98726,15.85077,15.33372,12.36459,12.93176
"E01000048","lsoa01",17.52498,15.65763,14.29219,15.98726,15.85077,15.33372,12.36459,12.93176
"E01000049","lsoa01",17.52498,15.65763,14.29219,15.98726,15.85077,15.33372,12.36459,12.93176
"E01000050","lsoa01",17.52498,15.65763,14.29219,15.98726,15.85077,15.33372,12.36459,12.93176
"E01000051","lsoa01",17.52498,15.65763,14.29219,15.98726,15.85077,15.33372,12.36459,12.93176
"E01000052","lsoa01",17.07379,15.04489,14.24396,15.88004,15.81559,15.11794,12.16709,13.04657
"E01000053","lsoa01",16.90931,15.6127,13.32978,15.02245,15.16457,14.35523,11.51231,12.42449
"E01000054","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000055","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000056","lsoa01",16.90931,15.6127,13.32978,15.02245,15.16457,14.35523,11.51231,12.42449
"E01000057","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000058","lsoa01",17.15955,15.75736,12.90094,13.92605,13.53995,13.01888,10.6251,12.57653
