"","zone","type","area"
"1","E01000001","lsoa01",129870.213491826
"2","E01000002","lsoa01",228427.072832545
"3","E01000003","lsoa01",59056.9766130727
"4","E01000004","lsoa01",2544644.43949378
"5","E01000005","lsoa01",189584.659887581
"6","E01000006","lsoa01",146537.439873706
"7","E01000007","lsoa01",200096.105321455
"8","E01000008","lsoa01",216903.362787056
"9","E01000009","lsoa01",127963.038601439
"10","E01000010","lsoa01",352072.344492579
"11","E01000011","lsoa01",91631.1798659123
"12","E01000012","lsoa01",143775.421516146
"13","E01000013","lsoa01",207837.806335557
"14","E01000014","lsoa01",341230.040534549
"15","E01000015","lsoa01",280639.205304129
"16","E01000016","lsoa01",198785.981459484
"17","E01000017","lsoa01",158374.503146891
"18","E01000018","lsoa01",173989.114095415
"19","E01000019","lsoa01",183866.973897242
"20","E01000020","lsoa01",187239.19242063
"21","E01000021","lsoa01",169366.607789062
"22","E01000022","lsoa01",128263.795539994
"23","E01000023","lsoa01",207295.200941854
"24","E01000024","lsoa01",128640.93402184
"25","E01000025","lsoa01",153351.179876231
"26","E01000026","lsoa01",126128.792484716
"27","E01000027","lsoa01",1474593.67827972
"28","E01000028","lsoa01",143900.689552556
"29","E01000029","lsoa01",256886.069179151
"30","E01000030","lsoa01",286278.740754077
"31","E01000031","lsoa01",843455.985710323
"32","E01000032","lsoa01",375443.573174976
"33","E01000033","lsoa01",145327.251603317
"34","E01000034","lsoa01",513689.839227241
"35","E01000035","lsoa01",397180.870464908
"36","E01000036","lsoa01",418707.725311847
"37","E01000037","lsoa01",233439.358665758
"38","E01000038","lsoa01",214050.825312133
"39","E01000039","lsoa01",1531845.94224776
"40","E01000040","lsoa01",170708.559688962
"41","E01000041","lsoa01",152637.53403212
"42","E01000042","lsoa01",231232.597236166
"43","E01000043","lsoa01",266367.917926293
"44","E01000044","lsoa01",170630.042168871
"45","E01000045","lsoa01",298242.943073822
"46","E01000046","lsoa01",155495.209182142
"47","E01000047","lsoa01",452695.717155995
"48","E01000048","lsoa01",64693.0844835108
"49","E01000049","lsoa01",212562.94997194
"50","E01000050","lsoa01",137661.68802982
"51","E01000051","lsoa01",66683.7103006497
"52","E01000052","lsoa01",199637.355571096
"53","E01000053","lsoa01",180911.047467885
"54","E01000054","lsoa01",171144.811628269
"55","E01000055","lsoa01",146063.13339114
"56","E01000056","lsoa01",243582.560474514
"57","E01000057","lsoa01",147679.227061461
"58","E01000058","lsoa01",182195.085038192
"59","E01000059","lsoa01",208422.306905578
"60","E01000060","lsoa01",550084.290863803
"61","E01000061","lsoa01",610470.820872136
"62","E01000062","lsoa01",221349.212508386
"63","E01000063","lsoa01",181224.485737054
"64","E01000064","lsoa01",208823.49655001
"65","E01000065","lsoa01",233560.659283581
"66","E01000066","lsoa01",244940.431696198
"67","E01000067","lsoa01",192455.372694331
"68","E01000068","lsoa01",339816.645391634
"69","E01000069","lsoa01",200594.424210601
"70","E01000070","lsoa01",391783.38871147
"71","E01000071","lsoa01",270535.039190147
"72","E01000072","lsoa01",520106.08276782
"73","E01000073","lsoa01",284640.204950594
"74","E01000074","lsoa01",164200.026120245
"75","E01000075","lsoa01",517454.094198405
"76","E01000076","lsoa01",190558.277385511
"77","E01000077","lsoa01",173825.331550439
"78","E01000078","lsoa01",175838.129284381
"79","E01000079","lsoa01",309703.343609968
"80","E01000080","lsoa01",231330.055518071
"81","E01000081","lsoa01",185777.524817033
"82","E01000082","lsoa01",160707.701751657
"83","E01000083","lsoa01",179946.431721507
"84","E01000084","lsoa01",150031.694791131
"85","E01000085","lsoa01",145388.083888998
"86","E01000086","lsoa01",140156.573266461
"87","E01000087","lsoa01",372551.984169209
"88","E01000088","lsoa01",226440.989569476
"89","E01000089","lsoa01",145381.510547022
"90","E01000090","lsoa01",2371696.93358947
"91","E01000091","lsoa01",246301.968546399
"92","E01000092","lsoa01",3582029.77490215
"93","E01000093","lsoa01",293785.767262947
"94","E01000094","lsoa01",602937.743147243
"95","E01000095","lsoa01",2556378.61921603
"96","E01000096","lsoa01",602413.561932252
"97","E01000097","lsoa01",179125.933651984
