"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"1","S01000001",100,"Aberdeen City","Peterculter",842,566,9.06,4897,8.2,69,4050,8.8,50,3903,-0.61,4825,-1.47,6210,13.48,3929,10.7,4144,297,3896,"S01000001",1,158190,455.807851257572,"",69132,"dz01",4465935.87001233,"dz01","S22000047","Aberdeen",12214.3616487843,"Aberdeen",12214.3616487843,"Aberdeen","dz01",6.9184355,5.5744175,4.1361095,5.85826775,6.95207875,7.587877,5.89721875,5.2361185,2006,"Scotland","Aberdeen City","Aberdeen",842,69,773,12214.3616487843,12214.3616487843,3896,3929,4144,5791,455.807851257572
"2","S01000002",100,"Aberdeen City","Aberdeen",678,489,5.52,5807,2.1,14,6159,2.5,12,6335,-1.12,5877,-0.36,4166,5.09,5880,34.73,1316,NA,6396,"S01000002",2,149991,1735.21003385301,"",69133,"dz01",308949.943394896,"dz01","S22000047","Aberdeen",5828.2195845847,"Aberdeen",5828.2195845847,"Aberdeen","dz01",7.979407,6.370256,4.870232,6.723044,7.946898,7.879905,6.077561,5.639694,2006,"Scotland","Aberdeen City","Aberdeen",678,14,664,5828.2195845847,5828.2195845847,6396,5880,1316,4566,1735.21003385301
"3","S01000003",100,"Aberdeen City","Aberdeen",795,578,5.24,5906,1.5,12,6344,2.2,13,6379,-0.96,5586,-0.49,4499,10.38,4784,30.03,1688,239,4415,"S01000003",3,150013,2034.89325112821,"",69134,"dz01",133045.810171477,"dz01","S22000047","Aberdeen",5613.17283176893,"Aberdeen",5613.17283176893,"Aberdeen","dz01",7.979407,6.370256,4.870232,6.723044,7.946898,7.879905,6.077561,5.639694,2006,"Scotland","Aberdeen City","Aberdeen",795,12,783,5613.17283176893,5613.17283176893,4415,4784,1688,4566,2034.89325112821
"4","S01000004",100,"Aberdeen City","Aberdeen",647,452,4.97,5973,1.5,10,6338,2.4,11,6347,-1.43,6247,-0.6,4773,5.77,5755,37.29,1146,NA,6455,"S01000004",4,150251,2115.49617578334,"",69135,"dz01",199774.15375635,"dz01","S22000047","Aberdeen",5564.71436652343,"Aberdeen",5564.71436652343,"Aberdeen","dz01",7.979407,6.370256,4.870232,6.723044,7.946898,7.879905,6.077561,5.639694,2006,"Scotland","Aberdeen City","Aberdeen",647,10,637,5564.71436652343,5564.71436652343,6455,5755,1146,4566,2115.49617578334
"5","S01000005",100,"Aberdeen City","Peterculter",628,458,5.83,5732,3.5,22,5576,5,23,5399,-0.49,4510,-1.02,5680,8.9,5149,15.58,3322,303,3831,"S01000005",5,158328,420.615445460749,"",69136,"dz01",158273.79938028,"dz01","S22000047","Aberdeen",12355.0785296164,"Aberdeen",12355.0785296164,"Aberdeen","dz01",7.053852,5.597121,4.201179,5.960256,7.07309,7.577334,5.834759,5.254272,2006,"Scotland","Aberdeen City","Aberdeen",628,22,606,12355.0785296164,12355.0785296164,3831,5149,3322,5775.5,420.615445460749
"6","S01000006",100,"Aberdeen City","Peterculter",611,316,12.22,4208,13.4,82,2754,7.9,25,4232,-0.34,4118,-0.67,4976,13.49,3924,7.4,4818,426,2863,"S01000006",6,157827,522.020936165854,"",69137,"dz01",180485.295980275,"dz01","S22000047","Aberdeen",11818.8385898581,"Aberdeen",11818.8385898581,"Aberdeen","dz01",7.159,5.658197,4.243563,5.941299,7.062223,7.335631,5.57939,5.146166,2006,"Scotland","Aberdeen City","Aberdeen",611,82,529,11818.8385898581,11818.8385898581,2863,3924,4818,5722.5,522.020936165854
"7","S01000007",100,"Aberdeen City","Peterculter",826,438,4.36,6092,4.6,38,5166,5.3,23,5302,-0.81,5307,-1.76,6381,3.01,6260.5,8.85,4518,97,5831,"S01000007",7,159953,518.168759524643,"",69138,"dz01",377519.51602827,"dz01","S22000047","Aberdeen",11424.0887280757,"Aberdeen",11424.0887280757,"Aberdeen","dz01",7.159,5.658197,4.243563,5.941299,7.062223,7.335631,5.57939,5.146166,2006,"Scotland","Aberdeen City","Aberdeen",826,38,788,11424.0887280757,11424.0887280757,5831,6260.5,4518,5722.5,518.168759524643
"8","S01000008",100,"Aberdeen City","Peterculter",586,372,7.5,5266,6.7,39,4499,6.2,23,4890,-0.47,4457,-0.62,4823,15.75,3280,10.18,4245,NA,6366,"S01000008",8,157812,500.623752780479,"",69139,"dz01",94949.7642843779,"dz01","S22000047","Aberdeen",11882.3309723406,"Aberdeen",11882.3309723406,"Aberdeen","dz01",7.053852,5.597121,4.201179,5.960256,7.07309,7.577334,5.834759,5.254272,2006,"Scotland","Aberdeen City","Aberdeen",586,39,547,11882.3309723406,11882.3309723406,6366,3280,4245,5775.5,500.623752780479
"9","S01000009",100,"Aberdeen City","Aberdeen",688,436,10.72,4532,6.7,46,4484,7.6,33,4351,-0.38,4200,0.03,3119,13.17,4013,15.01,3410,291,3940,"S01000009",9,150016,2444.53307327668,"",69140,"dz01",167158.769044054,"dz01","S22000047","Aberdeen",5324.04472441913,"Aberdeen",5324.04472441913,"Aberdeen","dz01",8.517591,6.6864,5.064367,6.770051,8.114148,7.766933,6.06753,5.593968,2006,"Scotland","Aberdeen City","Aberdeen",688,46,642,5324.04472441913,5324.04472441913,3940,4013,3410,3904,2444.53307327668
"10","S01000010",100,"Aberdeen City","Aberdeen",541,391,6.1,5650,2.4,13,6033.5,3.6,14,5997,-0.68,5004,-0.67,4958,9.86,4916,29.4,1740,NA,3744,"S01000010",10,150168,2657.15840429632,"",69141,"dz01",143265.276318051,"dz01","S22000047","Aberdeen",5279.88669788307,"Aberdeen",5279.88669788307,"Aberdeen","dz01",8.895201,6.963448,5.456448,7.453763,8.883577,8.491634,6.387243,5.921302,2006,"Scotland","Aberdeen City","Aberdeen",541,13,528,5279.88669788307,5279.88669788307,3744,4916,1740,3434,2657.15840429632
