"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"1","S01000001",2009,"Scotland","Aberdeen City","Aberdeen",836,60,776,12214.3616487843,12214.3616487843,3954,3929,4200,5162,455.807851257572,4465935.87001233
"2","S01000002",2009,"Scotland","Aberdeen City","Aberdeen",634,10,624,5828.2195845847,5828.2195845847,5949,5880,1317,3348,1735.21003385301,308949.943394896
"3","S01000003",2009,"Scotland","Aberdeen City","Aberdeen",828,10,818,5613.17283176893,5613.17283176893,4539,4784,1873,3348,2034.89325112821,133045.810171477
"4","S01000004",2009,"Scotland","Aberdeen City","Aberdeen",640,10,630,5564.71436652343,5564.71436652343,5622,5755,1035,3348,2115.49617578334,199774.15375635
"5","S01000005",2009,"Scotland","Aberdeen City","Aberdeen",607,25,582,12355.0785296164,12355.0785296164,4774,5149,3542,4959.5,420.615445460749,158273.79938028
"6","S01000006",2009,"Scotland","Aberdeen City","Aberdeen",612,90,522,11818.8385898581,11818.8385898581,4194,3924,5335,5006.5,522.020936165854,180485.295980275
"7","S01000007",2009,"Scotland","Aberdeen City","Aberdeen",788,40,748,11424.0887280757,11424.0887280757,6355,6260.5,5448,5006.5,518.168759524643,377519.51602827
"8","S01000008",2009,"Scotland","Aberdeen City","Aberdeen",559,40,519,11882.3309723406,11882.3309723406,4928,3280,4188,4959.5,500.623752780479,94949.7642843779
"9","S01000009",2009,"Scotland","Aberdeen City","Aberdeen",657,50,607,5324.04472441913,5324.04472441913,5096,4013,3851,3223,2444.53307327668,167158.769044054
"10","S01000010",2009,"Scotland","Aberdeen City","Aberdeen",534,25,509,5279.88669788307,5279.88669788307,4835,4916,1696,1797,2657.15840429632,143265.276318051
"11","S01000011",2009,"Scotland","Aberdeen City","Aberdeen",1057,10,1047,10105.9766342422,10105.9766342422,5955,6142,1805,4529,539.77356339689,1212021.58730901
"12","S01000012",2009,"Scotland","Aberdeen City","Aberdeen",1294,50,1244,5860.52201753398,5860.52201753398,4161,5802,890,2228,1697.20823545445,5462980.31614032
"13","S01000013",2009,"Scotland","Aberdeen City","Aberdeen",804,80,724,12116.7181891127,12116.7181891127,3793,3715,2005,5216,402.991013598094,232438.775927665
"14","S01000014",2009,"Scotland","Aberdeen City","Aberdeen",923,35,888,5216.11343615628,5216.11343615628,5473,4224,2270,3223,2567.01384827583,951645.88170517
"15","S01000015",2009,"Scotland","Aberdeen City","Aberdeen",676,15,661,4829.80680829024,4829.80680829024,5272,3330,1544,1797,3758.00819406754,87222.1127074659
"16","S01000016",2009,"Scotland","Aberdeen City","Aberdeen",614,5,609,8926.01581275891,8926.01581275891,5990,5267,1499,4651,598.687548265823,2103726.29759622
"17","S01000017",2009,"Scotland","Aberdeen City","Aberdeen",871,60,811,4814.84526374984,4814.84526374984,4206,4641,2527,3223,3670.41359410867,208357.723185087
"18","S01000018",2009,"Scotland","Aberdeen City","Aberdeen",498,30,468,4612.33992665297,4612.33992665297,4639,3744,1950,1797,4378.53470141291,82879.0005000026
"19","S01000019",2009,"Scotland","Aberdeen City","Aberdeen",608,20,588,9467.09318490803,9467.09318490803,2999,6401,1679,4570,575.19943293832,327391.532311052
"20","S01000020",2009,"Scotland","Aberdeen City","Aberdeen",966,120,846,6489.23937139381,6489.23937139381,5189,5052,2184,4302,1574.57308385628,1689583.51615792
"21","S01000021",2009,"Scotland","Aberdeen City","Aberdeen",859,60,799,4102.78533651046,4102.78533651046,4104,3788,2685,3159,5042.57119674669,154836.178549826
"22","S01000022",2009,"Scotland","Aberdeen City","Aberdeen",757,10,747,7813.01024825397,7813.01024825397,5207,6475,1243,4454.5,917.467735890442,721393.750953561
"23","S01000023",2009,"Scotland","Aberdeen City","Aberdeen",827,5,822,9725.85777912806,9725.85777912806,6396,6367,745,5119,491.114141449711,5504511.94377785
"24","S01000024",2009,"Scotland","Aberdeen City","Aberdeen",493,15,478,12623.4579556246,12623.4579556246,5760,5031,548,5401,245.887255015446,14214502.4869
"25","S01000025",2009,"Scotland","Aberdeen City","Aberdeen",940,20,920,7135.52251209332,7135.52251209332,4817,6476,1302,4459.5,1332.20444940449,304180.929245498
"26","S01000026",2009,"Scotland","Aberdeen City","Aberdeen",831,165,666,3806.34749323345,3806.34749323345,671,2081,4354,3159,5784.64838233466,226630.919682682
"27","S01000027",2009,"Scotland","Aberdeen City","Aberdeen",756,15,741,6938.38000842068,6938.38000842068,3131,6029,2337,4459.5,1427.1538498068,357190.629608363
"28","S01000028",2009,"Scotland","Aberdeen City","Aberdeen",863,125,738,3707.46671085083,3707.46671085083,2225,2105,3662,3159,6596.13822848775,129233.51522661
"29","S01000029",2009,"Scotland","Aberdeen City","Aberdeen",963,0,963,7729.51696537134,7729.51696537134,6493,6138,743,4454.5,926.693313111053,198933.218823731
"30","S01000030",2009,"Scotland","Aberdeen City","Aberdeen",494,80,414,3474.07591532518,3474.07591532518,2940,1267.5,3481,2167,8387.87211582202,71968.1892147288
