"","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"1",2012,"Scotland","Aberdeen City","Aberdeen",914,75,839,12214.3616487843,12214.3616487843,4839,3929,3420,3338,455.807851257572
"2",2012,"Scotland","Aberdeen City","Aberdeen",662,5,657,5828.2195845847,5828.2195845847,6487,5880,2151,2544,1735.21003385301
"3",2012,"Scotland","Aberdeen City","Aberdeen",795,15,780,5613.17283176893,5613.17283176893,5066,4784,3036,2544,2034.89325112821
"4",2012,"Scotland","Aberdeen City","Aberdeen",621,5,616,5564.71436652343,5564.71436652343,5133,5755,1462,2544,2115.49617578334
"5",2012,"Scotland","Aberdeen City","Aberdeen",605,30,575,12355.0785296164,12355.0785296164,4331,5149,3431,3365.5,420.615445460749
"6",2012,"Scotland","Aberdeen City","Aberdeen",643,55,588,11818.8385898581,11818.8385898581,4886,3924,5577,3958.5,522.020936165854
"7",2012,"Scotland","Aberdeen City","Aberdeen",809,30,779,11424.0887280757,11424.0887280757,5355,6261,5160,3958.5,518.168759524643
"8",2012,"Scotland","Aberdeen City","Aberdeen",553,45,508,11882.3309723406,11882.3309723406,4409,3280,3950,3365.5,500.623752780479
"9",2012,"Scotland","Aberdeen City","Aberdeen",660,45,615,5324.04472441913,5324.04472441913,5425,4013,2725,2855,2444.53307327668
"10",2012,"Scotland","Aberdeen City","Aberdeen",544,20,524,5279.88669788307,5279.88669788307,4625,4916,3855,1114,2657.15840429632
"11",2012,"Scotland","Aberdeen City","Aberdeen",1075,10,1065,10105.9766342422,10105.9766342422,5968,6142,1623,2733,539.77356339689
"12",2012,"Scotland","Aberdeen City","Aberdeen",1406,45,1361,5860.52201753398,5860.52201753398,4022,5802,1201,1252,1697.20823545445
"13",2012,"Scotland","Aberdeen City","Aberdeen",794,60,734,12116.7181891127,12116.7181891127,4719,3715,1679,4353,402.991013598094
"14",2012,"Scotland","Aberdeen City","Aberdeen",933,30,903,5216.11343615628,5216.11343615628,5663,4224,1987,2855,2567.01384827583
"15",2012,"Scotland","Aberdeen City","Aberdeen",677,10,667,4829.80680829024,4829.80680829024,5677,3330,4155,1114,3758.00819406754
"16",2012,"Scotland","Aberdeen City","Aberdeen",696,5,691,8926.01581275891,8926.01581275891,4887,5267,1207,3284,598.687548265823
"17",2012,"Scotland","Aberdeen City","Aberdeen",840,55,785,4814.84526374984,4814.84526374984,3647,4641,3721,2855,3670.41359410867
"18",2012,"Scotland","Aberdeen City","Aberdeen",499,15,484,4612.33992665297,4612.33992665297,5345,3744,4031,1114,4378.53470141291
"19",2012,"Scotland","Aberdeen City","Aberdeen",693,20,673,9467.09318490803,9467.09318490803,6138,6401,1524,3282,575.19943293832
"20",2012,"Scotland","Aberdeen City","Aberdeen",1004,105,899,6489.23937139381,6489.23937139381,5634,5052,1662,3204,1574.57308385628
"21",2012,"Scotland","Aberdeen City","Aberdeen",846,60,786,4102.78533651046,4102.78533651046,4369,3788,2609,2358,5042.57119674669
"22",2012,"Scotland","Aberdeen City","Aberdeen",746,10,736,7813.01024825397,7813.01024825397,5985,6475,961,3343.5,917.467735890442
"23",2012,"Scotland","Aberdeen City","Aberdeen",829,10,819,9725.85777912806,9725.85777912806,5877,6367,723,3761,491.114141449711
"24",2012,"Scotland","Aberdeen City","Aberdeen",525,15,510,12623.4579556246,12623.4579556246,6196,5031,530,3606,245.887255015446
"25",2012,"Scotland","Aberdeen City","Aberdeen",931,25,906,7135.52251209332,7135.52251209332,6000,6476,964,3787.5,1332.20444940449
"26",2012,"Scotland","Aberdeen City","Aberdeen",796,150,646,3806.34749323345,3806.34749323345,2537,2081,3570,2358,5784.64838233466
"27",2012,"Scotland","Aberdeen City","Aberdeen",800,20,780,6938.38000842068,6938.38000842068,5644,6029,1549,3787.5,1427.1538498068
"28",2012,"Scotland","Aberdeen City","Aberdeen",851,125,726,3707.46671085083,3707.46671085083,3521,2105,4282,2358,6596.13822848775
"29",2012,"Scotland","Aberdeen City","Aberdeen",1050,10,1040,7729.51696537134,7729.51696537134,6466,6138,678,3343.5,926.693313111053
"30",2012,"Scotland","Aberdeen City","Aberdeen",479,75,404,3474.07591532518,3474.07591532518,1972,1268,3652,1652,8387.87211582202
"31",2012,"Scotland","Aberdeen City","Aberdeen",983,25,958,5984.00309418316,5984.00309418316,6103,6086,2027,2704,2039.86458094388
"32",2012,"Scotland","Aberdeen City","Aberdeen",959,125,834,3242.09672077277,3242.09672077277,2510,2552,3662,211,10911.9068414704
"33",2012,"Scotland","Aberdeen City","Aberdeen",682,135,547,3124.16944193361,3124.16944193361,1002,1643,5517,1652,9305.98204442236
"34",2012,"Scotland","Aberdeen City","Aberdeen",1247,15,1232,5630.99974760465,5630.99974760465,5504,6343,1353,2494,2355.934794844
"35",2012,"Scotland","Aberdeen City","Aberdeen",1032,100,932,3949.86063343409,3949.86063343409,1233,2972,3316,2436.5,5050.39309956102
"36",2012,"Scotland","Aberdeen City","Aberdeen",673,110,563,4433.76374077789,4433.76374077789,1986,2670,2172,2436.5,3814.06598673088
"37",2012,"Scotland","Aberdeen City","Aberdeen",702,85,617,3132.24236459879,3132.24236459879,279,2047,2958,679,12641.7183721641
"38",2012,"Scotland","Aberdeen City","Aberdeen",771,80,691,2986.5334079954,2986.5334079954,2131,2361,3931,1652,9647.53527874549
"39",2012,"Scotland","Aberdeen City","Aberdeen",870,95,775,4305.52682585139,4305.52682585139,3429,1708,1154,2436.5,4176.29135304736
"40",2012,"Scotland","Aberdeen City","Aberdeen",871,90,781,2911.92250724785,2911.92250724785,1688,2045,5930,1652,11167.153938792
"41",2012,"Scotland","Aberdeen City","Aberdeen",763,70,693,2968.81253136123,2968.81253136123,3712,5624,3883,1652,9239.41930140692
"42",2012,"Scotland","Aberdeen City","Aberdeen",788,85,703,3614.47344369003,3614.47344369003,2612,3161,5270,1167.5,6129.73078940207
"43",2012,"Scotland","Aberdeen City","Aberdeen",770,95,675,3123.11143744619,3123.11143744619,1379,2651,5143,1167.5,8160.12924535332
"44",2012,"Scotland","Aberdeen City","Aberdeen",838,180,658,3689.92447398849,3689.92447398849,1281,1582,4401,2436.5,5886.32879245656
"45",2012,"Scotland","Aberdeen City","Aberdeen",575,10,565,4041.40057467381,4041.40057467381,5518,5936,1343,2436.5,4927.68599891589
"46",2012,"Scotland","Aberdeen City","Aberdeen",746,10,736,4081.53373813361,4081.53373813361,5019,6414,1420,2436.5,4960.1038051785
"47",2012,"Scotland","Aberdeen City","Aberdeen",749,80,669,2824.21079667542,2824.21079667542,3054,1152,4177,901.5,9533.37959067853
"48",2012,"Scotland","Aberdeen City","Aberdeen",914,10,904,3520.31084956466,3520.31084956466,4691,5608,1754,2052.5,6674.0061183366
"49",2012,"Scotland","Aberdeen City","Aberdeen",723,25,698,3230.71710167519,3230.71710167519,6487,6105,2406,901.5,7842.82534914215
"50",2012,"Scotland","Aberdeen City","Aberdeen",685,30,655,2749.14362159571,2749.14362159571,3905,5723,3863,901.5,9960.31596759796
"51",2012,"Scotland","Aberdeen City","Aberdeen",807,15,792,4315.03775117728,4315.03775117728,5469,6210,1750,2815.5,4568.36367840892
"52",2012,"Scotland","Aberdeen City","Aberdeen",591,165,426,2053.89966228313,2053.89966228313,1429,1457,3404,168,12978.6330403981
"53",2012,"Scotland","Aberdeen City","Aberdeen",1055,75,980,2424.32879143036,2424.32879143036,4011,4248,3794,702,11502.6202398969
"54",2012,"Scotland","Aberdeen City","Aberdeen",785,25,760,3791.71450384854,3791.71450384854,5864,6122,2984,2052.5,6012.35069601573
"55",2012,"Scotland","Aberdeen City","Aberdeen",792,190,602,1947.76250495668,1947.76250495668,742,1794,5342,168,13142.7908430418
"56",2012,"Scotland","Aberdeen City","Aberdeen",1068,25,1043,6615.49291312897,6615.49291312897,4058,5969,772,4582,1750.53873453771
"57",2012,"Scotland","Aberdeen City","Aberdeen",677,180,497,2024.60270888546,2024.60270888546,240,1079,4392,748,10787.7157828639
"58",2012,"Scotland","Aberdeen City","Aberdeen",705,15,690,3061.69456100995,3061.69456100995,4450,6266,2385,901.5,8715.67778581694
"59",2012,"Scotland","Aberdeen City","Aberdeen",884,10,874,1587.48722088883,1587.48722088883,2900,5960,1940,702,15846.235992749
"60",2012,"Scotland","Aberdeen City","Aberdeen",572,185,387,1897.64593330222,1897.64593330222,226,1676,2618,748,9126.29164144437
"61",2012,"Scotland","Aberdeen City","Aberdeen",1012,15,997,4089.61993254915,4089.61993254915,4544,6273,1799,2815.5,5561.55198610283
"62",2012,"Scotland","Aberdeen City","Aberdeen",948,35,913,2284.52839897697,2284.52839897697,3356,1799,4048,901.5,12699.2330485621
"63",2012,"Scotland","Aberdeen City","Aberdeen",901,20,881,2567.85056398258,2567.85056398258,4860,5102,3309,901.5,11290.6968908724
"64",2012,"Scotland","Aberdeen City","Aberdeen",607,55,552,1772.55758685035,1772.55758685035,1352,2057,5752,168,13544.3792485674
"65",2012,"Scotland","Aberdeen City","Aberdeen",886,60,826,2136.02502933139,2136.02502933139,3117,2087,4130,702,13199.2953810082
"66",2012,"Scotland","Aberdeen City","Aberdeen",817,80,737,1577.15438569267,1577.15438569267,57,553,5975,168,14880.4461863216
"67",2012,"Scotland","Aberdeen City","Aberdeen",985,45,940,3209.71683358711,3209.71683358711,5220,5301,5017,2052.5,8585.36718556684
"68",2012,"Scotland","Aberdeen City","Aberdeen",861,35,826,1720.48576824765,1720.48576824765,4933,4702,2920,702,15452.75867708
"69",2012,"Scotland","Aberdeen City","Aberdeen",686,140,546,1576.3827035641,1576.3827035641,539,940,5415,168,13168.7242290384
"70",2012,"Scotland","Aberdeen City","Aberdeen",645,115,530,1765.19382299815,1765.19382299815,977,1795,4188,748,10198.260472597
"71",2012,"Scotland","Aberdeen City","Aberdeen",762,175,587,1690.79430852351,1690.79430852351,1022,1221,4340,748,11417.5620580101
"72",2012,"Scotland","Aberdeen City","Aberdeen",856,70,786,4988.6958369859,4988.6958369859,2133,4797,761,3832,3900.73199850583
"73",2012,"Scotland","Aberdeen City","Aberdeen",593,20,573,3625.1780901083,3625.1780901083,5806,6272,4539,2052.5,7083.68383707435
"74",2012,"Scotland","Aberdeen City","Aberdeen",867,215,652,2033.22718378367,2033.22718378367,964,1199,1739,748,7612.46923501477
"75",2012,"Scotland","Aberdeen City","Aberdeen",517,25,492,1824.26322432722,1824.26322432722,1399,2310,5547,702,15603.9413297846
"76",2012,"Scotland","Aberdeen City","Aberdeen",764,15,749,4467.27863784398,4467.27863784398,5434,6418,1243,1887,4741.25172850313
"77",2012,"Scotland","Aberdeen City","Aberdeen",917,25,892,2504.92936963676,2504.92936963676,4427,4738,3191,419.5,12399.8444255697
"78",2012,"Scotland","Aberdeen City","Aberdeen",871,120,751,1320.20193008494,1320.20193008494,369,348,6447,66.5,15316.4373251807
"79",2012,"Scotland","Aberdeen City","Aberdeen",1263,20,1243,1350.62815319398,1350.62815319398,3572,2448,3369,66.5,17296.8176095612
"80",2012,"Scotland","Aberdeen City","Aberdeen",775,45,730,1916.35078400672,1916.35078400672,2604,1314,5735,419.5,15831.1807855425
"81",2012,"Scotland","Aberdeen City","Aberdeen",938,15,923,2815.02843111434,2815.02843111434,4129,5843,3504,507.5,10738.5910406405
"82",2012,"Scotland","Aberdeen City","Aberdeen",947,195,752,1796.0826860547,1796.0826860547,409,1504,2495,352,8043.461812969
"83",2012,"Scotland","Aberdeen City","Aberdeen",782,10,772,2183.07804879802,2183.07804879802,4572,3021,5003,419.5,14806.1395138426
"84",2012,"Scotland","Aberdeen City","Aberdeen",739,115,624,1411.24633259922,1411.24633259922,131,638,5720,66.5,12756.257990692
"85",2012,"Scotland","Aberdeen City","Aberdeen",616,40,576,1588.87302691263,1588.87302691263,2190,398,6006,143,18296.1367363786
"86",2012,"Scotland","Aberdeen City","Aberdeen",775,25,750,1355.92851616133,1355.92851616133,2206,3489,4134,143,18423.6933193951
"87",2012,"Scotland","Aberdeen City","Aberdeen",1074,20,1054,3509.43678568885,3509.43678568885,4093,5647,3118,507.5,8084.98604498251
"88",2012,"Scotland","Aberdeen City","Aberdeen",847,40,807,1473.98952468668,1473.98952468668,3799,3358,5356,143,18828.7441757354
