"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"1","S01006506",2020,"Scotland","Aberdeen City","Aberdeen",894,71,823,42,382,12211.8130035989,12211.8130035989,4664,3248,4724,5553,570.987831809237,4388802.12219707
"2","S01006507",2020,"Scotland","Aberdeen City","Aberdeen",793,43,750,90,274,11988.283551465,11988.283551465,4602,3486,2148,5801,554.326645121474,221746.838685559
"3","S01006508",2020,"Scotland","Aberdeen City","Aberdeen",624,40,584,19,321,12330.6520800866,12330.6520800866,4563.5,5342,4200,5378.5,549.017196472342,270194.753307431
"4","S01006509",2020,"Scotland","Aberdeen City","Aberdeen",537,52,485,62,212,11902.8537214524,11902.8537214524,5626,4394.5,3982,5378.5,629.290341938848,96254.2578404963
"5","S01006510",2020,"Scotland","Aberdeen City","Aberdeen",663,68,595,58,198,11707.1130345428,11707.1130345428,3885,3736,5588,5623.5,644.28494228632,180076.576244514
"6","S01006511",2020,"Scotland","Aberdeen City","Aberdeen",759,30,729,35,280,11421.453919382,11421.453919382,6928,5924,4974,5623.5,609.411602778328,400488.035797629
"7","S01006512",2020,"Scotland","Aberdeen City","Aberdeen",539,13,526,4,166,12819.6857850577,12819.6857850577,4528,4815,547,5604,401.204206511808,13996149.9026558
"8","S01006513",2020,"Scotland","Aberdeen City","Aberdeen",788,14,774,2,228,9467.90241390633,9467.90241390633,6928,6394,1490,5540,631.907871815182,300877.295984519
"9","S01006514",2020,"Scotland","Aberdeen City","Aberdeen",1123,17,1106,7,332,10128.0236138386,10128.0236138386,5507,6868,1858,5361,578.626508113767,1877298.2565501
"10","S01006515",2020,"Scotland","Aberdeen City","Aberdeen",816,5,811,7,264,9564.89925572601,9564.89925572601,6844,6174.5,659,5741,570.149009715111,5542698.36436762
"11","S01006516",2020,"Scotland","Aberdeen City","Aberdeen",629,14,615,4,181,9131.01569178045,9131.01569178045,4580,6570,1037,5589,614.790073791736,1593427.88886223
"12","S01006517",2020,"Scotland","Aberdeen City","Aberdeen",1052,24,1028,27,376,6438.6549292552,6438.6549292552,5594,5892,931,6068,1768.32760696649,10444535.3152058
"13","S01006518",2020,"Scotland","Aberdeen City","Aberdeen",664,7,657,1,246,7617.70147047878,7617.70147047878,6792,6960,1161,5362.5,1091.29969351709,519229.291154649
"14","S01006519",2020,"Scotland","Aberdeen City","Aberdeen",941,19,922,2,279,7213.7941834994,7213.7941834994,5628,6856,938,5432.5,1317.27827996852,304024.320496031
"15","S01006520",2020,"Scotland","Aberdeen City","Aberdeen",875,10,865,1,221,7727.44178793271,7727.44178793271,6928,6825,785,5362.5,965.993899986061,200643.601781468
"16","S01006521",2020,"Scotland","Aberdeen City","Aberdeen",793,5,788,3,240,5042.53534589687,5042.53534589687,5889,6869,904,5000,3835.21462593837,1473823.0903581
"17","S01006522",2020,"Scotland","Aberdeen City","Aberdeen",675,0,675,2,216,5744.60232500653,5744.60232500653,6273,6841,1385,4595.5,2569.27525437412,378701.906320956
"18","S01006523",2020,"Scotland","Aberdeen City","Aberdeen",957,29,928,9,418,5938.53134536807,5938.53134536807,5000,6581,2357,4595.5,2363.06429942616,287540.2256971
"19","S01006524",2020,"Scotland","Aberdeen City","Aberdeen",1056,107,949,11,303,6452.45601380655,6452.45601380655,6586,6240,3281,5191,1876.12382249081,1751712.99144855
"20","S01006525",2020,"Scotland","Aberdeen City","Aberdeen",904,31,873,24,315,6935.50348333274,6935.50348333274,5803,6259.5,2432,5432.5,1559.2949502945,359442.858611477
"21","S01006526",2020,"Scotland","Aberdeen City","Aberdeen",924,115,809,195,244,4300.85247908333,4300.85247908333,5840,1454,1906,3864,6021.9413172374,111930.692255358
"22","S01006527",2020,"Scotland","Aberdeen City","Aberdeen",756,122,634,122,164,4239.97682423555,4239.97682423555,2692,3235,2976,3864,6443.57567720315,156239.492679507
"23","S01006528",2020,"Scotland","Aberdeen City","Aberdeen",1154,109,1045,120,313,3934.93050023119,3934.93050023119,3786,1723,3717,3864,7071.3534679499,461299.018110353
"24","S01006529",2020,"Scotland","Aberdeen City","Aberdeen",932,85,847,112,384,3131.864492319,3131.864492319,1432,945,3842,2966.5,9662.56748219722,464280.511191899
"25","S01006530",2020,"Scotland","Aberdeen City","Aberdeen",785,116,669,134,222,3502.28122024465,3502.28122024465,2494,1626.5,5745,2966.5,8156.26849175218,130042.084337521
"26","S01006531",2020,"Scotland","Aberdeen City","Aberdeen",946,166,780,202,227,3796.02390393252,3796.02390393252,2237,1122,5143,3864,7368.05852101551,169925.255217127
"27","S01006532",2020,"Scotland","Aberdeen City","Aberdeen",793,32,761,10,327,2735.82471349809,2735.82471349809,3342,6110,3920,1989.5,11616.883172734,172840.101758924
"28","S01006533",2020,"Scotland","Aberdeen City","Aberdeen",717,11,706,2,303,3082.87524822319,3082.87524822319,4095,6946,3089,1989.5,10191.0563212633,172399.828514383
"29","S01006534",2020,"Scotland","Aberdeen City","Aberdeen",956,19,937,6,392,2561.47860543814,2561.47860543814,3383,6168,4158,1989.5,13152.8112581858,192329.082598511
"30","S01006535",2020,"Scotland","Aberdeen City","Aberdeen",1046,27,1019,15,549,2282.45018008088,2282.45018008088,4257,2839,5586,1989.5,14747.5857256602,146057.619482889
"31","S01006536",2020,"Scotland","Aberdeen City","Aberdeen",1003,43,960,25,564,1939.18087312103,1939.18087312103,1729,1197,5925,2320,18122.3635251019,154094.295618344
"32","S01006537",2020,"Scotland","Aberdeen City","Aberdeen",920,14,906,7,334,4079.5072932918,4079.5072932918,6866,6398,2127,3226,6356.32681698287,265005.880724593
"33","S01006538",2020,"Scotland","Aberdeen City","Aberdeen",548,8,540,3,237,4076.93829189649,4076.93829189649,6731,6461.5,1286,3864,6441.68608668566,159175.661889563
"34","S01006539",2020,"Scotland","Aberdeen City","Aberdeen",781,19,762,7,323,3135.73447987205,3135.73447987205,5867,6328,3394,1989.5,9774.37488759536,145485.559539405
"35","S01006540",2020,"Scotland","Aberdeen City","Aberdeen",933,18,915,7,444,3542.26433866293,3542.26433866293,5378,4761,2417,3226,8151.70272356723,306341.723054287
"36","S01006541",2020,"Scotland","Aberdeen City","Aberdeen",864,29,835,72,320,3784.83103994147,3784.83103994147,6463,6619,3887,3226,7415.53832218193,232137.475706117
"37","S01006542",2020,"Scotland","Aberdeen City","Aberdeen",1131,12,1119,7,489,4338.47578037483,4338.47578037483,5703,6239,2069,4675.5,6014.09641826979,468591.301818836
"38","S01006543",2020,"Scotland","Aberdeen City","Aberdeen",792,13,779,4,359,4315.33777120286,4315.33777120286,6928,6900,2700,4675.5,5664.5485375897,204600.966303012
"39","S01006544",2020,"Scotland","Aberdeen City","Aberdeen",1283,21,1262,10,497,3328.02573452875,3328.02573452875,6663,3379.5,4316,2501,10625.0230134456,325850.988715992
"40","S01006545",2020,"Scotland","Aberdeen City","Aberdeen",1120,28,1092,39,547,3232.10343831012,3232.10343831012,3834,4757,4572,3226,9844.65937719745,256674.418348498
"41","S01006546",2020,"Scotland","Aberdeen City","Aberdeen",624,10,614,0,262,3721.96048854669,3721.96048854669,6928,6799,6399,3226,8216.86851931845,160504.474995888
"42","S01006547",2020,"Scotland","Aberdeen City","Aberdeen",1242,95,1147,131,311,4967.01579170921,4967.01579170921,2085,4090,661,5714,4756.51795065122,7244209.74062478
"43","S01006548",2020,"Scotland","Aberdeen City","Aberdeen",658,11,647,2,310,4418.56760155306,4418.56760155306,6928,6499,1259,4066,5838.54034762804,169895.748045679
"44","S01006549",2020,"Scotland","Aberdeen City","Aberdeen",796,7,789,8,358,3789.23409283597,3789.23409283597,5084,6004,2363,4066,9478.32350477064,424433.525488217
"45","S01006550",2020,"Scotland","Aberdeen City","Aberdeen",900,9,891,1,388,4204.01510783869,4204.01510783869,5324,6585,2008,4066,6845.43030886635,325831.27944735
"46","S01006551",2020,"Scotland","Aberdeen City","Aberdeen",704,120,584,192,200,4740.67893139439,4740.67893139439,523,1502,1754,5545,5521.77569191899,628278.726535092
"47","S01006552",2020,"Scotland","Aberdeen City","Aberdeen",884,28,856,9,408,4412.7244252019,4412.7244252019,5052,6637,1694,2831,7250.95266107341,205535.332909446
"48","S01006553",2020,"Scotland","Aberdeen City","Aberdeen",903,41,862,116,291,3825.56118391611,3825.56118391611,4687,4628,2781,2831,9652.72536907449,283414.357841459
"49","S01006554",2020,"Scotland","Aberdeen City","Aberdeen",777,73,704,70,260,3613.54636731778,3613.54636731778,923,2235,4460,2831,10996.5606488668,222876.60370658
"50","S01006555",2020,"Scotland","Aberdeen City","Aberdeen",732,101,631,143,231,4542.22010898645,4542.22010898645,463,1067,2597,4278.5,6949.06457827478,314180.861764811
"51","S01006556",2020,"Scotland","Aberdeen City","Aberdeen",804,130,674,183,216,4097.84389412379,4097.84389412379,2882,1660,4613,2831,8724.25247846066,227432.388441047
"52","S01006557",2020,"Scotland","Aberdeen City","Aberdeen",679,116,563,180,158,5058.41447443241,5058.41447443241,3052,2323,1835,4278.5,4859.88912038034,83772.8873505244
"53","S01006558",2020,"Scotland","Aberdeen City","Aberdeen",596,15,581,2,352,1954.81427053666,1954.81427053666,4134,2751,6316,2083,20796.3705048152,152910.433333217
"54","S01006559",2020,"Scotland","Aberdeen City","Aberdeen",601,9,592,16,256,2124.32330134994,2124.32330134994,4464,5199,6569,2083,19467.5181852384,112979.406447798
"55","S01006560",2020,"Scotland","Aberdeen City","Aberdeen",1018,20,998,40,392,2374.72244590012,2374.72244590012,5547,5876,6116,2083,17658.6345948917,179176.602712608
"56","S01006561",2020,"Scotland","Aberdeen City","Aberdeen",728,7,721,5,318,2486.42193345742,2486.42193345742,3906,6509,6844,2197,17238.5397088027,132854.283053456
"57","S01006562",2020,"Scotland","Aberdeen City","Aberdeen",972,60,912,77,257,3163.77893707589,3163.77893707589,4252,4177.5,3680,2197,12955.207794878,317805.542633491
"58","S01006563",2020,"Scotland","Aberdeen City","Aberdeen",677,25,652,25,341,2365.5762957891,2365.5762957891,90,2829,5453,175,18658.6193426328,649011.882990646
"59","S01006564",2020,"Scotland","Aberdeen City","Aberdeen",1007,105,902,165,413,1194.34914651506,1194.34914651506,2221,608,6560,2394.5,26220.4029519364,105104.528252461
"60","S01006565",2020,"Scotland","Aberdeen City","Aberdeen",1000,89,911,115,450,1030.31772363479,1030.31772363479,3067,140,5613,2394.5,26534.813720237,53121.9583425485
"61","S01006566",2020,"Scotland","Aberdeen City","Aberdeen",761,39,722,18,419,1437.18794503959,1437.18794503959,2545,1947,6722,2394.5,23653.5561879621,88244.9828525381
"62","S01006567",2020,"Scotland","Aberdeen City","Aberdeen",744,94,650,161,391,1254.44146824656,1254.44146824656,1695,275,6205,2394.5,25384.671294947,56968.3710270463
"63","S01006568",2020,"Scotland","Aberdeen City","Aberdeen",921,28,893,17,558,1536.65615492055,1536.65615492055,2570,649,6846,2083,23718.8857982619,71479.196125892
"64","S01006569",2020,"Scotland","Aberdeen City","Aberdeen",561,33,528,36,275,1748.84198726163,1748.84198726163,3977,1285,6720,2083,22141.8627558326,56576.680084127
"65","S01006570",2020,"Scotland","Aberdeen City","Aberdeen",739,11,728,8,363,1837.93412359852,1837.93412359852,4688,4238,6493,2083,21613.7335911787,114756.124016348
"66","S01006571",2020,"Scotland","Aberdeen City","Aberdeen",911,26,885,18,409,1921.32062972518,1921.32062972518,715,3853,6283,2320,21227.896105827,402357.539855134
"67","S01006572",2020,"Scotland","Aberdeen City","Aberdeen",957,6,951,4,370,2882.77826885684,2882.77826885684,4036,6285,3422,2197,13838.1848562382,365514.138071405
"68","S01006573",2020,"Scotland","Aberdeen City","Aberdeen",790,12,778,4,286,2376.86217506824,2376.86217506824,5882,6618,5395,2083,17387.5180203424,121413.068304
