"name","pweight_x","pweight_y","pop11","number_lsoa","type"
"Abertillery BUA",321742.987203589,204351.02183479,11601,8,"bua"
"Alton (East Hampshire) BUA",471852.221114838,139699.643207129,17816,11,"bua"
"Amesbury BUA",416334.666034145,141174.677463253,10724,6,"bua"
"Ampthill BUA",503293.29827904,235942.74470394,20409,14,"bua"
"Annfield Plain BUA",416534.899978771,552459.109818556,11069,7,"bua"
"Ashby-de-la-Zouch BUA",435404.791666338,316600.970461703,10488,7,"bua"
"Ashington (Northumberland) BUA",427893.001796205,587140.321418967,27789,17,"bua"
"Attleborough BUA",604697.894052065,295167.516096004,11260,6,"bua"
"Barnoldswick BUA",387803.351804988,446895.750966102,10996,8,"bua"
"Barnstaple BUA",255866.278409479,132906.020969224,31010,21,"bua"
"Barrow-in-Furness BUA",320635.523019768,470075.235844712,44585,33,"bua"
"Barry BUA",311932.23532678,168579.237389668,54901,35,"bua"
"Barton-upon-Humber BUA",502972.501742531,421878.268008862,11066,6,"bua"
"Bath BUA",374428.131009652,164756.514626691,93311,60,"bua"
"Beaconsfield BUA",493683.096331719,190791.981659821,13523,8,"bua"
"Beccles BUA",642927.631309135,289667.212518815,13096,8,"bua"
"Bedlington BUA",426281.616959876,582359.228744561,17528,12,"bua"
"Belper BUA",435637.43526122,347527.868381745,23361,14,"bua"
"Berwick-upon-Tweed BUA",399366.993352637,652469.681628127,11792,8,"bua"
"Beverley BUA",503546.70949206,439791.793339109,30333,19,"bua"
"Biddulph BUA",388523.556954525,357404.612377803,16588,10,"bua"
"Biggleswade BUA",519494.313896983,244544.814914879,16551,10,"bua"
"Bishop's Stortford BUA",548571.767564429,220744.689395214,35901,23,"bua"
"Blackfield BUA",444091.946274909,102879.435083478,14287,10,"bua"
"Blandford Forum BUA",388830.962212276,106736.455655704,12419,6,"bua"
"Blyth (Northumberland) BUA",430475.061857291,580728.396847925,37339,22,"bua"
"Bodmin BUA",206767.989410847,66696.1572427695,14736,9,"bua"
"Bognor Regis BUA",493109.859395609,99683.9247745888,64712,41,"bua"
"Bolsover BUA",447230.660103965,370857.221448629,11673,8,"bua"
"Boston BUA",532702.912539303,343905.121840423,39818,22,"bua"
"Bourne BUA",509640.355545511,320271.806501965,14456,10,"bua"
"Brackley BUA",458341.66981279,237650.490859739,13018,9,"bua"
"Brentwood BUA",560274.911200208,194114.760103147,54158,33,"bua"
"Bridgwater BUA",330173.352137422,136957.987096581,41066,26,"bua"
"Bridport BUA",346860.756474504,93006.0958038871,12135,7,"bua"
"Brixham BUA",292154.223221622,55645.462716052,16693,12,"bua"
"Buckingham BUA",469962.80710827,233809.003453643,12043,7,"bua"
"Burgess Hill BUA",531249.483838721,119288.087992846,30109,19,"bua"
"Buxton (High Peak) BUA",406006.353436373,373071.406158001,22686,14,"bua"
"Calne BUA",399874.14023154,171239.969566109,17274,10,"bua"
"Canvey Island BUA",579706.213758082,183565.638540315,38170,25,"bua"
"Carmarthen BUA",240933.286151871,220154.88129954,16566,11,"bua"
"Catterick Garrison BUA",417930.893009162,497345.910270466,10420,5,"bua"
"Chapeltown BUA",434533.255042462,396723.495863457,23056,15,"bua"
"Chard BUA",332458.3477631,108816.781747178,11798,8,"bua"
"Chatteris BUA",539370.235505738,285949.866889126,10453,5,"bua"
"Cheadle BUA",400970.350436056,343068.275439895,12165,7,"bua"
"Cheltenham BUA",394251.749089715,222168.990980834,114126,74,"bua"
"Chippenham (Wiltshire) BUA",391491.814039128,173291.07892017,34434,23,"bua"
"Cil-y-coed BUA",348252.391558352,188293.080389128,11737,7,"bua"
"Clacton-on-Sea BUA",617476.151709308,215928.916876409,50548,32,"bua"
"Clevedon BUA",340717.303574877,170982.166631638,21281,14,"bua"
"Clitheroe BUA",374152.75086133,441658.769278509,14765,10,"bua"
"Cobham (Elmbridge) BUA",512252.89827232,160395.594182941,17930,11,"bua"
"Codsall BUA",387199.70995179,303216.921076727,12495,9,"bua"
"Congleton BUA",386062.035914877,362986.024809693,26482,16,"bua"
"Conisbrough BUA",450669.600307722,398775.002490576,16466,10,"bua"
"Croesowallt BUA",329439.665873348,329496.217538318,18743,12,"bua"
"Crowborough BUA",552055.396671073,130343.757445586,20951,12,"bua"
"Darlington BUA",428967.054300864,515232.967018062,88238,55,"bua"
"Daventry BUA",457051.864679711,263050.41354503,25026,14,"bua"
"Dawlish BUA",296213.443156291,77229.3584148892,11435,7,"bua"
"Deal BUA",636912.644781071,151842.057993857,30085,19,"bua"
"Dereham BUA",598895.75676995,312765.270452385,20277,11,"bua"
"Desborough BUA",480330.676404998,283415.111021988,10697,8,"bua"
"Devizes BUA",401086.091145651,161358.429412586,17693,11,"bua"
"Dinnington (Rotherham) BUA",452270.455206347,385519.434475639,20257,14,"bua"
"Dorchester (West Dorset) BUA",368881.014781498,90163.199168288,19060,13,"bua"
"Dover BUA",630586.5471783,142547.363169213,40220,24,"bua"
"Downham Market BUA",561253.408987068,303355.967846898,9994,6,"bua"
"Driffield BUA",502453.381502012,457794.105068732,13793,8,"bua"
"Dronfield BUA",435087.548207064,378496.345054943,21261,14,"bua"
"Durham BUA",427971.243122199,543268.011170199,48069,27,"bua"
"Elland BUA",410431.148889742,420976.116145634,14779,9,"bua"
"Ely BUA",553933.859767867,280702.235851066,19162,11,"bua"
"Emsworth BUA",475233.374715418,106601.285419423,15985,10,"bua"
"Epping BUA",545963.670561098,201987.491856539,9053,6,"bua"
"Evesham BUA",403958.943969745,243255.339558202,23428,14,"bua"
"Exmouth BUA",301170.625779597,81979.3218043029,34432,21,"bua"
"Faversham BUA",601347.434221265,161267.076916475,19316,12,"bua"
"Featherstone (Wakefield) BUA",442609.345790091,420494.271322018,9278,6,"bua"
"Fleet BUA",480959.955771853,153695.720534138,37760,23,"bua"
"Fleetwood BUA",332442.907005225,447112.897951707,25939,18,"bua"
"Formby BUA",329562.398368707,407212.652598486,23845,17,"bua"
"Frome BUA",377850.020604836,148114.650431482,26203,17,"bua"
"Gainsborough BUA",482051.051094241,389701.192946031,21973,13,"bua"
"Garforth BUA",440818.935265086,432921.297137271,14857,10,"bua"
"Gerrards Cross BUA",500023.114574887,189915.738470252,19502,12,"bua"
"Gillingham (North Dorset) BUA",380686.480096185,126693.495408841,11541,6,"bua"
"Great Malvern BUA",378141.647684754,246438.664506263,34144,22,"bua"
"Guisborough BUA",460810.302938312,515559.309014219,17777,11,"bua"
"Hailsham BUA",558894.131926547,109738.527246779,19028,13,"bua"
"Halstead BUA",581411.273157788,230311.519679624,11906,7,"bua"
"Harpenden BUA",513755.598507032,214422.874389964,27669,18,"bua"
"Haverfordwest BUA",194958.714549228,215310.329905733,12583,6,"bua"
"Haverhill BUA",566807.224375114,245687.933974664,27041,14,"bua"
"Haxby BUA",460513.902492477,458023.983327828,12038,8,"bua"
"Haywards Heath BUA",533659.429046051,124201.04721704,30816,19,"bua"
"Henley-on-Thames BUA",475842.505435089,182180.840128445,11619,7,"bua"
"Hereford BUA",350732.983692048,239777.403298295,60626,37,"bua"
"Heswall BUA",326879.023128275,383065.099819496,29389,19,"bua"
"Hexham BUA",393547.481007438,563710.566400444,9178,5,"bua"
"Hinckley BUA",442688.948136457,293696.183663593,43500,28,"bua"
"Holyhead BUA",224619.566963425,382255.646726726,11431,8,"bua"
"Honiton BUA",316057.467839601,100215.984729104,11483,8,"bua"
"Huntingdon BUA",524068.956546618,272818.683865415,23732,14,"bua"
"Hurstpierpoint BUA",529810.689559816,116104.526007019,12509,8,"bua"
"Hythe BUA",441769.390552153,106861.738098208,20526,13,"bua"
"Ilfracombe BUA",251896.944313497,147205.060032123,11509,8,"bua"
"Ilkley BUA",411963.966583599,447713.716449513,14809,9,"bua"
"Ivybridge BUA",263372.584194325,56218.5183296904,11851,7,"bua"
"Kenilworth BUA",429298.205547129,271924.729995269,20283,13,"bua"
"Keynsham BUA",365317.64437162,167962.40679472,15641,10,"bua"
"King's Lynn BUA",563445.213718632,320813.055485104,44666,27,"bua"
"Kirkby BUA",341301.629027623,398837.487736168,42401,27,"bua"
"Knutsford BUA",375554.400361297,378519.340304075,13191,9,"bua"
"Leighton Buzzard BUA",492270.221228751,225280.193338221,37469,24,"bua"
"Leominster BUA",349146.069211081,258912.452377405,11691,8,"bua"
"Lewes BUA",541053.907825292,110407.186830454,17297,11,"bua"
"Lichfield BUA",411883.154546653,309687.992738255,32219,18,"bua"
"Llandudno BUA",278498.480382384,381749.162432036,15818,9,"bua"
"Loughborough BUA",452685.632252515,319191.977499956,60367,35,"bua"
"Louth BUA",533364.734987051,387567.396397325,16419,11,"bua"
"Lowestoft BUA",653168.072609575,292776.886224807,70451,46,"bua"
"Ludlow BUA",351804.347212354,275021.783489669,10939,8,"bua"
"Lymm BUA",368540.811754021,387363.794542728,12350,7,"bua"
"Mablethorpe BUA",551074.786237234,383600.161613596,10372,5,"bua"
"Maghull BUA",337676.239212238,402453.430320626,26752,18,"bua"
"Maidstone BUA",576415.334020166,154950.406335941,107506,65,"bua"
"Maldon BUA",585262.181848218,206944.998195217,21264,14,"bua"
"March BUA",541655.116620002,297050.110010103,20581,11,"bua"
"Market Deeping BUA",514319.884775368,310274.142205156,11860,8,"bua"
"Market Drayton BUA",366922.406453763,334105.22841841,11773,7,"bua"
"Market Harborough BUA",473405.129677459,287126.801827209,21223,13,"bua"
"Marple BUA",395794.583508443,388738.281692087,17109,12,"bua"
"Matlock BUA",429351.529672855,361193.588006171,14956,10,"bua"
"Melksham BUA",390950.444411398,163691.874798531,16712,11,"bua"
"Melton Mowbray BUA",475148.507437041,319243.932253657,27158,16,"bua"
"Merthyr Tydfil BUA",305199.589615245,206737.844960818,42170,25,"bua"
"Middlewich BUA",370386.405162735,365652.744329855,13595,9,"bua"
"Milford Haven BUA",190369.244736818,206314.043327531,13907,8,"bua"
"Minehead BUA",296946.115563761,145856.79792165,11981,7,"bua"
"Mold BUA",323574.306613519,363789.43147645,10058,7,"bua"
"Monmouth BUA",350586.740423923,212876.404723598,10508,6,"bua"
"Morpeth BUA",419904.418226542,585405.931327116,15956,10,"bua"
"Mountain Ash BUA",305001.140360785,198668.69344827,10373,7,"bua"
"Nantwich BUA",365409.497125715,352175.716561483,16484,12,"bua"
"Neston BUA",329470.045886182,377177.307344724,14268,8,"bua"
"New Addington BUA",538366.133716599,162742.505604951,22280,14,"bua"
"New Rossington BUA",461834.852358829,397972.726542657,13537,9,"bua"
"Newhaven BUA",544563.987368635,101547.64188324,13757,9,"bua"
"Newmarket BUA",563922.162084949,263951.156724331,21414,13,"bua"
"Newport (Isle of Wight) BUA",449423.933803084,89176.9187792647,22780,14,"bua"
"Newport (Telford and Wrekin) BUA",374638.817213493,319034.440961846,13209,9,"bua"
"Newquay BUA",181988.240180731,61536.931067937,19853,12,"bua"
"Newton Aycliffe BUA",427488.952227051,525343.134588378,23037,16,"bua"
"Newtown (Powys) BUA",310419.833029127,291340.854228069,11357,6,"bua"
"North Walsham BUA",628672.552622864,330333.476707186,9732,7,"bua"
"Northallerton BUA",436979.909917254,493551.292287397,16832,11,"bua"
"Oakham BUA",485841.400950094,308862.122070036,11129,6,"bua"
"Ormskirk BUA",340999.311598573,407671.082746287,24410,17,"bua"
"Oxted BUA",539825.05255132,152078.962980081,12956,8,"bua"
"Peacehaven BUA",540945.950583895,101654.875044603,17133,11,"bua"
"Penrith BUA",351683.85419952,530202.066694664,15487,11,"bua"
"Petersfield BUA",474956.009136439,123452.982370742,14974,9,"bua"
"Ponteland BUA",415626.947291817,571915.049903867,10921,7,"bua"
"Porthcawl BUA",282145.403704365,177649.359906243,16005,10,"bua"
"Portishead BUA",346456.981504658,176230.842215621,24526,16,"bua"
"Potters Bar BUA",525382.582644209,201322.701958713,23454,15,"bua"
"Pyle BUA",282561.322970766,182212.427206474,14464,9,"bua"
"Retford BUA",470375.026264674,380879.143885744,22350,15,"bua"
"Ripon BUA",430909.857079349,471003.72154076,16702,11,"bua"
"Ross-on-Wye BUA",359966.994783825,224091.910580334,10582,7,"bua"
"Royston BUA",535864.156233556,241181.149649802,15781,9,"bua"
"Rugeley BUA",404090.730323159,317812.533670125,24560,15,"bua"
"Saffron Walden BUA",554152.070517021,238082.147052797,15504,9,"bua"
"Salisbury BUA",414004.980711969,130574.492048714,43488,28,"bua"
"Saltash BUA",241891.716244386,59008.3075935082,16419,11,"bua"
"Sandbach BUA",375092.107331621,360776.529590646,17976,12,"bua"
"Scarborough BUA",503523.72623865,487653.709416813,58763,38,"bua"
"Scunthorpe BUA",489021.269442206,409591.485216834,80193,49,"bua"
"Seaford BUA",548897.460000027,99616.0838434759,21939,14,"bua"
"Seaham BUA",441701.167744594,549280.872799855,22690,16,"bua"
"Selsey BUA",485744.073796347,93243.8065684639,10737,7,"bua"
"Sheerness BUA",592212.182348679,174419.64863603,11938,8,"bua"
"Shepshed BUA",447810.996030282,319311.232436704,13505,8,"bua"
"Shepton Mallet BUA",361806.010745069,143357.62564608,10369,6,"bua"
"Shirebrook BUA",452250.188039073,367746.26478634,10885,6,"bua"
"Shrewsbury BUA",349519.570758837,313039.407600736,71715,43,"bua"
"Sidmouth BUA",312615.184671888,88842.1178175636,11550,7,"bua"
"Sittingbourne BUA",590629.699276894,164086.852102552,48517,29,"bua"
"Skegness BUA",556107.124233987,365362.302812326,25089,15,"bua"
"Skipton BUA",398989.38508652,451472.079139447,14623,9,"bua"
"Sleaford BUA",506365.136414693,345597.248879117,17671,10,"bua"
"Snodland BUA",570040.598712887,161602.25819582,10211,5,"bua"
"South Hayling BUA",472392.555990697,99266.9047651224,16108,10,"bua"
"South Ockendon BUA",558843.022641396,181610.98093243,19460,12,"bua"
"South Woodham Ferrers BUA",580825.137954533,197146.186937847,16453,11,"bua"
"Southport BUA",334285.29924733,416340.67308755,88870,60,"bua"
"Spalding BUA",524413.380741208,322941.688773075,32465,18,"bua"
"Spennymoor BUA",425856.813615835,534074.037290259,14831,9,"bua"
"Stanford-le-Hope BUA",569452.519672005,183390.419767509,28971,20,"bua"
"Stocksbridge BUA",427310.274772945,398008.951574005,13455,9,"bua"
"Stone (Stafford) BUA",390395.868018169,333466.189596132,16385,10,"bua"
"Stratford-upon-Avon BUA",419881.11107166,255136.696610755,27445,16,"bua"
"Street BUA",348058.297630151,136298.172848822,13041,8,"bua"
"Stubbington BUA",455901.815325751,101933.851120804,24937,16,"bua"
"Sudbury BUA",588020.680052425,241282.23639108,21971,15,"bua"
"Swanage BUA",402100.816219298,78967.6741847871,11092,8,"bua"
"Tavistock BUA",248117.518386998,73855.3716399398,12280,7,"bua"
"Tewkesbury BUA",390726.570503106,232868.002581493,20210,13,"bua"
"Thame BUA",471231.765589213,205846.383565746,9851,7,"bua"
"Thetford BUA",587029.153470788,283338.266339889,24340,14,"bua"
"Thornbury BUA",364355.80194078,190276.808513998,10772,7,"bua"
"Tiverton BUA",296057.115319598,112929.404719689,20069,11,"bua"
"Todmorden BUA",393660.857622098,424077.767399973,11643,8,"bua"
"Tonbridge BUA",559124.854152798,147231.413946128,37951,24,"bua"
"Tredegar BUA",313987.287854897,209636.169510126,12114,8,"bua"
"Tring BUA",492293.744347773,211828.881438012,12099,8,"bua"
"Ulverston BUA",328868.65112468,477716.64777108,11678,6,"bua"
"Uttoxeter BUA",408574.451956428,333762.131349303,13089,8,"bua"
"Verwood BUA",409023.948909538,108429.327235104,13698,9,"bua"
"Wantage BUA",439943.868906766,188923.678543866,18505,12,"bua"
"Warminster BUA",387351.874883149,144883.977623526,17490,12,"bua"
"Warrington BUA",361024.536321014,388871.241912394,161698,103,"bua"
"Westbury (Wiltshire) BUA",386755.325698313,151098.554908841,16340,9,"bua"
"Whitby BUA",489376.809439387,510613.593479134,13213,9,"bua"
"Whittlesey BUA",527158.338810635,297356.212416073,12745,9,"bua"
"Widnes BUA",350573.555390201,386556.11883072,61464,37,"bua"
"Winsford (Cheshire West and Chester) BUA",364787.43827471,366110.39461564,30481,20,"bua"
"Witham BUA",581642.946140843,214762.031776719,25353,17,"bua"
"Witney BUA",435427.379349233,209802.455908272,29632,19,"bua"
"Wombourne BUA",386865.834771956,292570.581451594,10079,7,"bua"
"Wootton Bassett BUA",407238.589201365,182693.974477119,11385,7,"bua"
"Wymondham (South Norfolk) BUA",611488.62838116,302071.631656315,12970,8,"bua"
"Yarm BUA",442070.033696602,513226.668437068,18312,12,"bua"
"Yeovil BUA",355053.518708957,116652.167071863,45881,29,"bua"
NA,447911.794323721,272215.341986962,50525086,31266,"bua"
"Abercarn BUASD",322032.725888338,193552.085152224,1577,1,"buasd"
"Aberdare BUASD",300475.950671019,202258.506227593,28642,18,"buasd"
"Abergavenny BUASD",330089.573715368,214996.938234883,13533,8,"buasd"
"Abergele BUASD",294491.23822852,377609.835960421,9246,6,"buasd"
"Aberporth BUASD",225812.780966794,251304.930853244,1178,1,"buasd"
"Abersychan BUASD",326485.370859079,204298.194340362,7064,5,"buasd"
"Abertysswg BUASD",313124.117630784,205650.568867801,1462,1,"buasd"
"Aberystwyth BUASD",259093.098192164,281330.783928519,13890,8,"buasd"
"Abingdon BUASD",449534.181653214,197991.54680158,38436,25,"buasd"
"Accrington BUASD",376087.313356118,428469.935527744,32498,20,"buasd"
"Ackworth Moor Top BUASD",443589.026705688,416414.116341443,5419,3,"buasd"
"Addlestone BUASD",504918.512887867,164400.846780425,15399,9,"buasd"
"Adlington BUASD",360195.85072025,413648.904700099,9461,5,"buasd"
"Adwick le Street BUASD",453606.632530118,409034.658622597,19222,13,"buasd"
"Ainsworth BUASD",376284.607526707,410089.199600731,1404,1,"buasd"
"Aldershot BUASD",486879.327634519,150000.030660463,56896,36,"buasd"
"Aldridge BUASD",403863.35032076,301861.903288847,36187,24,"buasd"
"Alfreton BUASD",441715.162171285,354108.360854651,22056,15,"buasd"
"Alsager BUASD",379392.235479887,355516.276719458,11775,7,"buasd"
"Alsagers Bank BUASD",380082.19292064,348991.361509751,2510,1,"buasd"
"Altrincham BUASD",377384.524187288,388557.106485884,52378,31,"buasd"
"Amersham BUASD",497500.532092684,198155.017044748,22346,14,"buasd"
"Ammanford BUASD",263178.203230905,212185.94891031,7586,5,"buasd"
"Andover BUASD",436010.128118981,145992.876919395,39792,25,"buasd"
"Anna Valley BUASD",434631.052405257,143867.877283636,1531,1,"buasd"
"Arborfield Garrison BUASD",476407.928099389,165935.155743475,4249,2,"buasd"
"Armthorpe BUASD",462648.529720313,404777.889885404,14796,10,"buasd"
"Arnold BUASD",458911.376798169,345177.300551345,35911,25,"buasd"
"Ashford (Ashford) BUASD",600854.869907878,142349.46116213,67546,43,"buasd"
"Ashford (Spelthorne) BUASD",507391.596632498,171235.35171586,27214,18,"buasd"
"Ashtead BUASD",518254.888544193,158293.326130674,14169,10,"buasd"
"Ashton-in-Makerfield BUASD",357412.667489003,399805.884109211,28022,18,"buasd"
"Ashton-under-Lyne BUASD",394003.541163327,399828.983482335,45556,28,"buasd"
"Ashurst BUASD",433161.565594429,111262.706124412,2689,2,"buasd"
"Aslockton BUASD",473860.88639541,339765.620392645,2768,1,"buasd"
"Atherstone BUASD",431177.835113168,297667.192525666,11003,7,"buasd"
"Atherton BUASD",366385.480346339,401534.177061843,70719,44,"buasd"
"Audley BUASD",379685.115414592,350703.391713368,2883,2,"buasd"
"Awsworth BUASD",448024.85022634,344004.787664294,2204,1,"buasd"
"Aylesbury BUASD",482038.353345343,213528.458712241,71977,48,"buasd"
"Backwell BUASD",348368.572321256,168526.936010953,4460,3,"buasd"
"Bacup BUASD",386612.590510509,422417.951730174,13323,9,"buasd"
"Badsey BUASD",407040.963150086,243333.946360145,2748,2,"buasd"
"Badshot Lea BUASD",486396.048004687,148569.910516066,1582,1,"buasd"
"Baildon BUASD",415373.344114856,439265.141276449,14232,9,"buasd"
"Balderton BUASD",482501.140106923,350683.129583951,2190,1,"buasd"
