"","zone","accessA","accessB"
"1","S01000001",158190,455.807851257572
"2","S01000002",149991,1735.21003385301
"3","S01000003",150013,2034.89325112821
"4","S01000004",150251,2115.49617578334
"5","S01000005",158328,420.615445460749
"6","S01000006",157827,522.020936165854
"7","S01000007",159953,518.168759524643
"8","S01000008",157812,500.623752780479
"9","S01000009",150016,2444.53307327668
"10","S01000010",150168,2657.15840429632
"11","S01000011",158421,539.77356339689
"12","S01000012",150229,1697.20823545445
"13","S01000013",157393,402.991013598094
"14","S01000014",150002,2567.01384827583
"15","S01000015",150168,3758.00819406754
"16","S01000016",158020,598.687548265823
"17","S01000017",150168,3670.41359410867
"18","S01000018",150200,4378.53470141291
"19","S01000019",158175,575.19943293832
"20","S01000020",157870,1574.57308385628
"21","S01000021",157343,5042.57119674669
"22","S01000022",158283,917.467735890442
"23","S01000023",158365,491.114141449711
"24","S01000024",158281,245.887255015446
"25","S01000025",158232,1332.20444940449
"26","S01000026",157540,5784.64838233466
"27","S01000027",158211,1427.1538498068
"28","S01000028",157556,6596.13822848775
"29","S01000029",158449,926.693313111053
"30","S01000030",157461,8387.87211582202
"31","S01000031",157851,2039.86458094388
"32","S01000032",157391,10911.9068414704
"33","S01000033",157705,9305.98204442236
"34","S01000034",157880,2355.934794844
"35","S01000035",157822,5050.39309956102
"36","S01000036",157745,3814.06598673088
"37","S01000037",156898,12641.7183721641
"38","S01000038",157705,9647.53527874549
"39","S01000039",157865,4176.29135304736
"40","S01000040",157693,11167.153938792
"41","S01000041",157732,9239.41930140692
"42","S01000042",157822,6129.73078940207
"43","S01000043",157920,8160.12924535332
"44","S01000044",157896,5886.32879245656
"45","S01000045",157896,4927.68599891589
"46","S01000046",157994,4960.1038051785
"47","S01000047",157891,9533.37959067853
"48","S01000048",157923,6674.0061183366
"49","S01000049",157920,7842.82534914215
"50","S01000050",157920,9960.31596759796
"51","S01000051",158023,4568.36367840892
"52","S01000052",157468,12978.6330403981
"53","S01000053",157876,11502.6202398969
"54","S01000054",157979,6012.35069601573
"55","S01000055",157488,13142.7908430418
"56","S01000056",158160,1750.53873453771
"57","S01000057",157350,10787.7157828639
"58","S01000058",157953,8715.67778581694
"59","S01000059",157654,15846.235992749
"60","S01000060",157325,9126.29164144437
"61","S01000061",158238,5561.55198610283
"62","S01000062",157905,12699.2330485621
"63","S01000063",157988,11290.6968908724
"64","S01000064",157500,13544.3792485674
"65","S01000065",157831,13199.2953810082
"66","S01000066",157654,14880.4461863216
"67","S01000067",158167,8585.36718556684
"68","S01000068",157736,15452.75867708
"69","S01000069",157492,13168.7242290384
"70","S01000070",157340,10198.260472597
"71","S01000071",157389,11417.5620580101
"72","S01000072",159162,3900.73199850583
"73","S01000073",158229,7083.68383707435
"74","S01000074",156819,7612.46923501477
"75","S01000075",157822,15603.9413297846
"76","S01000076",158507,4741.25172850313
"77","S01000077",158164,12399.8444255697
"78","S01000078",157608,15316.4373251807
"79","S01000079",157712,17296.8176095612
"80","S01000080",158022,15831.1807855425
"81","S01000081",158170,10738.5910406405
"82","S01000082",157300,8043.461812969
"83","S01000083",158142,14806.1395138426
"84","S01000084",157501,12756.257990692
"85","S01000085",158036,18296.1367363786
"86","S01000086",157760,18423.6933193951
"87","S01000087",158319,8084.98604498251
"88","S01000088",157981,18828.7441757354
"89","S01000089",158420,5830.87441911057
"90","S01000090",158188,14823.9704263868
"91","S01000091",158144,17250.2456165156
"92","S01000092",158135,18594.2830080382
"93","S01000093",157924,20744.1752154568
"94","S01000094",158062,20465.7558068957
"95","S01000095",158189,16978.6880034523
"96","S01000096",158810,5058.28432697961
"97","S01000097",158289,14146.9218498724
"98","S01000098",157928,23420.0684562661
"99","S01000099",158480,8221.99088810424
"100","S01000100",158027,22766.1955224673
"101","S01000101",158195,19028.3270307726
"102","S01000102",158078,22859.8679222809
"103","S01000103",158125,22256.0501834742
"104","S01000104",158369,11871.6351516791
"105","S01000105",158977,5843.18378258954
"106","S01000106",158303,14837.1268210448
"107","S01000107",157847,23724.086087236
"108","S01000108",157841,18855.6944949094
"109","S01000109",157965,24297.0309612336
"110","S01000110",158645,8342.21920069291
"111","S01000111",158223,18349.0304226479
"112","S01000112",158032,22179.4776808262
"113","S01000113",158223,16552.0502520622
"114","S01000114",159243,4670.26633633142
"115","S01000115",158795,7596.19275757689
"116","S01000116",158184,19764.6328555302
"117","S01000117",158295,14838.4241542314
"118","S01000118",158743,9133.38885601906
"119","S01000119",157993,21449.06784106
"120","S01000120",158184,18737.0565293792
"121","S01000121",158520,11385.4757955396
"122","S01000122",159243,4035.04529266064
"123","S01000123",159584,806.39680265113
"124","S01000124",157965,22347.4074780372
"125","S01000125",157886,21383.0775519181
"126","S01000126",157895,19770.6170233987
"127","S01000127",158358,14504.6742449096
"128","S01000128",157941,23062.5693869881
"129","S01000129",157895,22452.8007250922
"130","S01000130",157886,17960.1725689676
"131","S01000131",158234,17540.4852880638
"132","S01000132",158071,19530.4444238853
"133","S01000133",159308,4109.67942560569
"134","S01000134",159112,5717.50760446458
"135","S01000135",157914,20541.8578392129
"136","S01000136",158999,6743.66929215567
"137","S01000137",157969,19938.7542469229
"138","S01000138",157886,19552.6737917051
"139","S01000139",159334,4477.88646647985
"140","S01000140",159374,3228.69438728628
"141","S01000141",158271,15256.9851003079
"142","S01000142",158706,9379.12171857748
"143","S01000143",159551,854.656830104293
"144","S01000144",157886,16300.4749238528
"145","S01000145",159350,3680.90896495266
"146","S01000146",158010,18387.3431247709
"147","S01000147",157886,14861.4819575053
"148","S01000148",159073,5476.35566090199
"149","S01000149",157964,17602.4783213084
"150","S01000150",158952,8210.67730532841
"151","S01000151",158511,9755.91176689275
"152","S01000152",158072,16059.0893462263
"153","S01000153",157914,14851.5868919997
"154","S01000154",159321,4498.52398843681
"155","S01000155",158899,7339.06758440134
"156","S01000156",157964,16520.332615491
"157","S01000157",158445,10423.9944723774
"158","S01000158",158289,10988.2178438395
"159","S01000159",159600,880.281588618708
"160","S01000160",158892,6953.04702578305
"161","S01000161",157977,15193.9988216118
"162","S01000162",158153,13532.6228422965
