"","zone","accessA","accessB"
"1","E01012007",206771,5841.79089820002
"2","E01012085",213615,7049.24414789322
"3","E01012005",150072,2742.47908211786
"4","E01012084",217570,6716.64528445862
"5","E01012002",164464,5079.38544146728
"6","E01012083",219572,9093.00408473075
"7","E01012003",166445,2887.59942256259
"8","E01012082",210491,5286.35414593474
"9","E01012000",182875,7730.14192702095
"10","E01012081",222182,9634.04577485574
"11","E01012001",199966,5860.56263478286
"12","E01012080",221943,10824.1027721105
"13","E01012008",210383,7005.71594154128
"14","E01012089",224494,5488.22409690984
"15","E01012009",209017,6096.55783917401
"16","E01012088",222710,6894.61788693332
"17","E01012366",159670,1257.38112704101
"18","E01012364",90063,9476.54513133378
"19","E01012365",89630,7378.780825787
"20","E01012362",99986,9330.3172587713
"21","E01012363",91581,8470.53174340959
"22","E01012360",82632,7112.76559987597
"23","E01012361",81403,4503.61632631916
"24","E01008356",464838,11007.3656973937
"25","E01008357",462587,8164.70367300512
"26","E01008354",480088,13408.8605177732
"27","E01008355",474039,14359.7388140719
"28","E01008352",465451,9991.20472633863
"29","E01008353",460966,10696.9999857302
"30","E01008350",426242,6371.26831641303
"31","E01008351",469909,11683.3920904859
"32","E01008358",467170,10599.3389936803
"33","E01008359",511798,14874.40359386
"34","E01012256",220927,2542.9128133603
"35","E01012257",221321,2890.63667475308
"36","E01012254",219487,9691.74084870555
"37","E01012255",219281,2644.08152416211
"38","E01012252",222722,7910.94859550194
"39","E01012253",220196,7027.07385727893
"40","E01012250",247552,4189.45902979757
"41","E01012251",222643,8176.89368071081
"42","E01012258",221948,6335.17782030135
"43","E01012259",225037,6220.77041818339
"44","E01008206",478999,8874.44100037425
"45","E01008287",543074,4432.66862072124
"46","E01008207",466712,7823.64588082515
"47","E01008286",542598,3875.5158904318
"48","E01008204",546087,12351.5659738354
"49","E01008285",553595,3979.70988393612
"50","E01008205",544138,12881.2420756141
"51","E01008284",547168,3776.7111189182
"52","E01008202",546169,10241.8256397535
"53","E01008283",544082,3549.41976601036
"54","E01008203",541768,14467.6365205672
"55","E01008282",550448,4027.27305021831
"56","E01008200",296455,1053.63016073641
"57","E01008281",547010,4111.40337675517
"58","E01008201",547846,10735.2559336445
"59","E01008280",377781,3254.14080122775
"60","E01008208",465535,9438.89619888351
"61","E01008289",454700,9736.61888367453
"62","E01008209",475866,13012.8249958289
"63","E01008288",439319,7860.1197977251
"64","E01008567",438196,4523.30526335808
"65","E01008564",421132,3308.61218265257
"66","E01008565",437431,2712.78732755565
"67","E01008562",416035,4254.91681563526
"68","E01008563",427348,5066.32756481952
"69","E01008560",416536,4276.33528995327
"70","E01008561",458531,7814.28418289665
"71","E01008568",443919,5717.23656554193
"72","E01008569",452067,6515.96062788387
"73","E01011976",173473,7296.62554415121
"74","E01011977",220217,2087.23263325191
"75","E01011974",161453,8023.7659817802
"76","E01011975",174454,6296.52084784276
"77","E01011973",166328,8294.20740013205
"78","E01011970",104529,1080.82725702669
"79","E01011971",105302,1416.60863226983
"80","E01011978",219105,2759.9533446994
"81","E01011979",216906,2773.49516281667
"82","E01008456",394285,4894.23722250615
"83","E01008457",395408,4816.33536264858
"84","E01008455",480941,14482.0039604712
"85","E01008452",473642,10741.6814358519
"86","E01008453",478088,12769.0621126356
"87","E01008450",468016,9763.51222148604
"88","E01008451",449778,8268.39326611268
"89","E01008458",381735,2604.465504193
"90","E01008459",391234,4123.72543377265
"91","E01020766",113597,2745.2962761058
"92","E01020767",110500,2135.5232887263
"93","E01020764",112311,2460.33075032921
"94","E01020765",118366,2345.07453877368
"95","E01020762",157838,3204.52244663799
"96","E01020763",201962,529.025787733316
"97","E01020760",157823,2254.05885716306
"98","E01020761",157983,3934.41433897552
